Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),Demand (MW),Minimum temperature (°C)_MA_24,Maximum temperature (°C)_MA_24,Rainfall (mm)_MA_24,Speed of maximum wind gust (km/h)_MA_24,9am Temperature (°C)_MA_24,9am relative humidity (%)_MA_24,9am wind speed (km/h)_MA_24,9am MSL pressure (hPa)_MA_24,3pm Temperature (°C)_MA_24,3pm relative humidity (%)_MA_24,3pm wind speed (km/h)_MA_24,3pm MSL pressure (hPa)_MA_24,Price_MA_24,Demand_MA_24
2022-11-25,11.6,20.6,0.0,22.0,14.3,75,9,1021.7,19.2,51.0,6.0,1020.0,204810.04,11.866666666666667,20.445833333333336,2.9166666666666665,36.458333333333336,15.379166666666668,68.20833333333333,10.708333333333334,1014.0833333333333,18.6375,58.54166666666666,12.041666666666664,1013.0416666666665,1.5008333333333332,4100.730416666668
2022-11-26,10.9,27.3,0.0,54.0,16.8,66,11,1011.9,27.0,33.0,20.0,1004.6,180029.09,12.033333333333333,20.929166666666667,2.8000000000000003,36.91666666666666,15.620833333333335,68.25,10.791666666666664,1014.2999999999997,19.133333333333333,57.66666666666666,12.333333333333336,1012.8833333333333,0.29249999999999987,4103.372916666668
2022-11-27,14.7,20.5,0.2,37.0,16.0,71,9,1004.5,19.5,51.0,9.0,1003.7,175137.85,12.266666666666666,21.141666666666666,2.7916666666666665,37.16666666666666,15.808333333333335,68.29166666666667,10.791666666666664,1013.6875,19.370833333333334,57.0,12.333333333333336,1012.15,-1.2916666666666667,4099.191666666668
2022-11-28,9.7,18.8,0.2,31.0,14.0,61,11,1009.1,18.1,46.0,7.0,1008.0,203508.67,12.245833333333332,21.183333333333326,2.7916666666666665,37.458333333333336,15.879166666666668,67.33333333333333,11.0,1012.8958333333333,19.420833333333334,56.58333333333334,12.25,1011.375,-2.9029166666666666,4095.2208333333347
2022-11-29,12.2,18.4,0.4,33.0,15.5,65,11,1015.6,17.7,52.0,13.0,1016.9,198748.03,12.262499999999998,21.004166666666666,2.8083333333333336,37.54166666666666,15.941666666666668,66.79166666666667,11.083333333333336,1012.4499999999997,19.375,56.04166666666666,12.333333333333336,1011.1125,-4.4870833333333335,4104.487916666668
2022-11-30,11.6,18.4,0.0,31.0,16.0,58,9,1019.8,17.9,52.0,9.0,1017.7,203646.69,12.262499999999998,20.641666666666666,2.8083333333333336,37.458333333333336,15.862500000000002,66.58333333333333,11.083333333333336,1012.3083333333329,19.029166666666665,56.83333333333334,12.541666666666664,1011.0208333333335,-6.134583333333333,4124.395000000001
2022-12-01,12.1,18.8,0.0,35.0,17.0,73,11,1018.8,18.1,63.0,17.0,1017.7,205939.41,12.1875,20.345833333333328,2.8083333333333336,37.91666666666666,15.750000000000002,66.95833333333333,11.375,1012.2124999999997,18.941666666666666,56.70833333333334,12.875,1010.9625,-7.722916666666666,4152.1429166666685
2022-12-02,9.4,21.4,0.0,26.0,15.0,74,6,1018.3,20.4,62.0,13.0,1015.4,202092.68,11.970833333333333,20.087499999999995,2.8083333333333336,37.54166666666666,15.466666666666667,67.66666666666667,11.0,1012.2166666666664,18.716666666666665,57.5,13.166666666666664,1010.9416666666667,-9.970833333333333,4177.844166666669
2022-12-03,13.6,31.0,0.0,31.0,21.3,68,7,1015.7,28.8,42.0,13.0,1013.0,207301.71,11.887499999999998,20.158333333333328,2.691666666666667,37.375,15.487500000000002,67.70833333333333,10.75,1012.0874999999997,18.7375,57.70833333333334,13.166666666666664,1010.8416666666667,-11.554999999999998,4218.555000000001
2022-12-04,17.3,34.5,0.0,44.0,27.2,43,9,1011.7,32.5,28.0,19.0,1007.8,218658.87,11.783333333333333,20.495833333333334,2.691666666666667,36.958333333333336,15.629166666666668,67.41666666666667,10.416666666666666,1012.0,19.045833333333327,57.04166666666666,13.125,1010.6791666666667,-10.560416666666663,4264.005416666669
2022-12-05,16.2,18.1,0.0,52.0,16.6,77,13,1009.6,16.3,70.0,17.0,1011.7,213809.04,11.679166666666665,20.40833333333333,2.566666666666667,37.875,15.54166666666667,67.29166666666667,10.5,1011.9416666666664,18.966666666666665,56.58333333333334,13.208333333333336,1010.7333333333332,-10.602499999999997,4306.281666666669
